comment,behaviour,suggestion
इससे चीज़ें स्पष्ट हो गईं।,Clarification,Point out content that clarified things neutrally.
इसे पोस्ट करने के लिए धन्यवाद।,Courtesy,Thank for posting content politely.
उपयोगी व्याख्या।,Utility Praise,Highlight useful explanations neutrally.
इससे भ्रम दूर हुआ।,Problem Resolution,Acknowledge content that helped clear confusion politely.
बढ़िया किया।,Praise,Praise nicely done work neutrally.
इस पोस्ट की सराहना करता हूँ।,Appreciation,Appreciate posts respectfully.
यह मददगार था।,Utility Feedback,Flag helpful content neutrally.
व्याख्या के लिए धन्यवाद।,Courtesy,Thank for explanations politely.
अच्छा और स्पष्ट कंटेंट।,Quality Praise,Highlight good and clear content neutrally.
यह जानकारीपूर्ण है।,Informative Statement,Acknowledge informative content politely.
स्पष्ट व्याख्या।,Clarity Praise,Comment on clear explanations neutrally.
प्रयास के लिए धन्यवाद।,Effort Appreciation,Thank for effort respectfully
इससे मुझे सीखने में मदद मिली।,Learning Appreciation,This content helped learning.
अच्छी तरह लिखा गया है।,Writing Praise,Nicely written contribution.
अच्छी जानकारी साझा की गई है।,Informative Praise,Good information is shared here.
यह उपयोगी था।,Utility Feedback,This content was useful.
ज्ञान साझा करने के लिए धन्यवाद।,Knowledge Appreciation,Thanks for sharing knowledge.
सहायक व्याख्या।,Utility Praise,Helpful explanation provided.
इसे समझना आसान था।,Usability Feedback,This was easy to follow.
विचार को अच्छी तरह समझाया गया है।,Concept Praise,Well-explained idea.
अच्छा कंटेंट।,Content Praise,Good content overall.
इससे मुझे समझने में मदद मिली।,Learning Acknowledgement,This helped with understanding.
इसकी सराहना करता हूँ।,Appreciation,Appreciate this contribution.
समझाने के लिए धन्यवाद।,Courtesy,Thanks for explaining.
जानकारीपूर्ण पोस्ट।,Informative Statement,Informative post.
इस पर अच्छा काम किया है।,Praise,Well done.
मुझे यकीन नहीं है कि मैं इससे सहमत हूँ।,Disagreement,Indicates some disagreement.
इसे और बेहतर तरीके से समझाया जा सकता था।,Constructive Criticism,Suggests content could be explained better.
मुझे लगता है कि और भी दृष्टिकोण हो सकते हैं।,Alternative Perspective,Highlights other possible views.
"ठीक-ठाक कंटेंट है, लेकिन स्पष्टता की ज़रूरत है।",Constructive Feedback,Decent content but could use more clarity.
"ठीक है, बहुत बढ़िया नहीं।",Neutral Evaluation,Okay but not outstanding content.
मुझे और विवरण की उम्मीद थी।,Expectation Mismatch,Content could include more details.
यह अधूरा लगता है।,Incompleteness Criticism,Suggests content feels incomplete.
ज़्यादा प्रभावशाली नहीं है।,Doubt Expression,Indicates content is not very convincing.
और बेहतर हो सकता था।,General Criticism,Suggests content could have been better.
मैं थोड़ा भ्रमित हूँ।,Clarification Need,Expresses confusion politely.
यह इसे पूरी तरह नहीं समझाता।,Explanation Criticism,Content doesn’t fully explain the topic.
औसत व्याख्या।,Neutral Review,Average explanation.
"बुरा नहीं है, लेकिन शानदार भी नहीं।",Balanced Feedback,"Not bad, but not excellent."
सुधार की ज़रूरत है।,Improvement Request,Needs improvement.
यह कुछ हद तक मददगार था।,Partial Appreciation,Content was somewhat helpful.
मैं कुछ बिंदुओं से असहमत हूँ।,Partial Disagreement,Disagreement with some points is expressed.
यह जल्दबाज़ी में किया हुआ लगता है।,Quality Criticism,Content feels rushed.
और उदाहरण जोड़े जा सकते हैं।,Suggestion,Suggest adding more examples.
पूरी तरह संतुष्ट नहीं हूँ।,User Dissatisfaction,Content is not fully satisfying.
यह ठीक था।,Neutral Feedback,This content is okay.
मुझे लगता है कुछ कमी है।,Content Gap Identification,Suggests something is missing.
ज़्यादा स्पष्ट नहीं है।,Clarity Criticism,Content is not very clear.
इसे बेहतर किया जा सकता है।,Improvement Suggestion,Suggests improvements are possible.
ठीक-ठाक प्रयास।,Effort Recognition,Decent effort is acknowledged.
बिल्कुल वैसा नहीं जैसा मैंने उम्मीद की थी।,Expectation Mismatch,Content did not fully meet expectations.
यह आंशिक रूप से मददगार है।,Partial Utility,Partially helpful content.
इसे और विस्तार से समझाया जा सकता था।,Elaboration Suggestion,Could explain in more detail.
मैं आश्वस्त नहीं हूँ।,Persuasion Resistance,User is not fully convinced.
यह औसत है।,Neutral Evaluation,Average content.
बेहतर व्याख्या की ज़रूरत है।,Explanation Criticism,Needs better explanation.
कुछ बिंदु स्पष्ट नहीं हैं।,Clarity Issue,Some points are unclear.
यह बहुत बुनियादी लगता है।,Simplicity Feedback,Content feels basic.
ज़्यादा विस्तृत नहीं है।,Depth Criticism,Not very detailed content.
यह और सरल हो सकता था।,Simplification Suggestion,Could simplify content.
मेरी मिली-जुली भावनाएँ हैं।,Ambivalent Feedback,Expresses mixed feelings.
पूरी तरह समझाया नहीं गया है।,Incomplete Explanation,Not fully explained
यह ठीक है।,Acceptance,Content is acceptable.
स्पष्टता को बेहतर किया जा सकता है।,Clarity Suggestion,Could improve clarity.
बहुत मज़बूत व्याख्या नहीं है।,Weak Explanation Criticism,Explanation is not very strong.
यह अधूरा लगता है।,Incompleteness Criticism,Feels incomplete.
और स्पष्टता की ज़रूरत है।,Improvement Request,Needs more clarity.
यह ठीक-ठाक कंटेंट है।,Neutral Acceptance,Content is okay.
ज़्यादा आकर्षक नहीं है।,Engagement Criticism,Not very engaging.
यह और स्पष्ट हो सकता था।,Clarity Suggestion,Could be clearer.
औसत पोस्ट।,Neutral Review,Average content/post.
कुछ भ्रम अभी भी बना हुआ है।,Unresolved Confusion,Some confusion remains.
कुल मिलाकर बुरा नहीं है।,Balanced Feedback,Not bad overall.
इसे बेहतर किया जा सकता है।,Improvement Suggestion,Could be improved.
यह कुछ हद तक स्पष्ट है।,Partial Clarity,Somewhat clear.
और व्याख्या की ज़रूरत है।,Detail Request,Needs more explanation.
पूरी तरह स्पष्ट नहीं है।,Clarity Criticism,Not fully clear.
यह ठीक है।,Neutral Feedback,This is okay.
बेहतर उदाहरणों का उपयोग किया जा सकता है।,Example Suggestion,Could use better examples.
कुछ हिस्से भ्रमित करने वाले हैं।,Sectional Confusion,Some parts are confusing.
यह औसत था।,Neutral Evaluation,Average quality.
ज़्यादा मददगार नहीं है।,Utility Criticism,Not very helpful.
और विस्तृत हो सकता था।,Depth Suggestion,Could be more detailed.
मुझे इससे बेहतर की उम्मीद थी।,Expectation Criticism,Expected more.
यह व्याख्या ठीक है।,Neutral Acceptance,Explanation is okay.
पूरी तरह आश्वस्त करने वाला नहीं है।,Persuasion Criticism,Not fully convincing.
और समझाया जा सकता था।,Elaboration Suggestion,Could explain more.
यह बहुत बुनियादी लगता है।,Simplicity Feedback,Feels basic.
कुछ बिंदु गायब हैं।,Missing Information,Some points are missing.
ज़्यादा प्रभावशाली नहीं है।,Performance Criticism,Not very impressive.
इसे और बेहतर तरीके से समझाया जा सकता था।,Explanation Suggestion,Could be better explained.
यह ठीक-ठाक है।,Mild Approval,Decent content.
सुधार की ज़रूरत है।,Improvement Request,Needs improvement.
"यह ठीक है, शायद।",Reluctant Acceptance,Fine as is.
ज़्यादा स्पष्ट नहीं है।,Clarity Criticism,Not very clear.
और सरल हो सकता था।,Simplification Suggestion,Could be simpler.
यह व्याख्या औसत है।,Neutral Review,Explanation is average.
"बुरा नहीं है, लेकिन सुधार हो सकता है।",Balanced Feedback,"Not bad, could improve."
कुछ स्पष्टता की कमी है।,Clarity Issue,Some clarity is missing.
यह ठीक-ठाक कंटेंट है।,Neutral Acceptance,Okay content.
और विवरण जोड़ा जा सकता है।,Detail Suggestion,Could add more detail.
पूरी तरह मददगार नहीं है।,Partial Utility Criticism,Not fully helpful.
इसमें कमी महसूस होती है।,Content Weakness,Feels lacking.
औसत व्याख्या।,Neutral Review,Average explanation.
और उदाहरणों की ज़रूरत है।,Example Request,Needs more examples.
इसे बेहतर किया जा सकता है।,Improvement Suggestion,Could be improved.
ज़्यादा स्पष्ट व्याख्या नहीं है।,Explanation Criticism,Not very clear explanation.
यह स्वीकार्य है।,Acceptance,Acceptable content.
इसे बेहतर तरीके से समझाया जा सकता था।,Explanation Suggestion,Could be explained better.
"न बहुत बढ़िया, न बहुत खराब।",Neutral Evaluation,"Not great, not terrible."
कुछ बिंदु अस्पष्ट हैं।,Clarity Issue,Some points unclear.
यह अधूरा लगता है।,Incompleteness Criticism,Feels incomplete
बेहतर संरचना की ज़रूरत है।,Structural Criticism,Needs better structure.
यह ठीक है।,Neutral Feedback,This is okay.
ज़्यादा विस्तृत व्याख्या नहीं है।,Depth Criticism,Not very detailed explanation.
यह और स्पष्ट हो सकता था।,Clarity Suggestion,Could be clearer.
औसत कंटेंट।,Neutral Evaluation,Average content.
और गहराई की ज़रूरत है।,Depth Improvement Request,Needs more depth.
यह व्याख्या ठीक है।,Acceptance,Explanation is fine.
स्पष्टता को बेहतर किया जा सकता है।,Clarity Improvement Suggestion,Could improve clarity.
पूरी तरह संतुष्ट नहीं हूँ।,User Dissatisfaction,Not fully satisfied.
यह ठीक-ठाक है।,Mild Approval,This is decent.
यहाँ कुछ भ्रम है।,Clarity Issue,Some confusion here.
कुल मिलाकर ज़्यादा मददगार नहीं है।,Utility Criticism,Not very helpful overall.
और बेहतर हो सकता था।,General Criticism,Could be better.
यह ठीक है लेकिन इसमें काम करने की ज़रूरत है।,Constructive Feedback,Okay but needs work.
"काश जो उसके साथ पूरा “फियर फैक्टर” करता और उसे ताज़ा भाप उठती गंदगी खाने पर मजबूर करता, ताकि उसका मुँह भरा रहता और हमें उस बेकार औरत की आवाज़ बिल्कुल न सुननी पड़ती।",Disagreement,Avoid dehumanizing or violent language when expressing disagreement.
"गैर-घातक हथियार भीड़ को नियंत्रित नहीं करते, हाहा। मुझे रोगन पसंद है, लेकिन यह चर्चा बेहद बेवकूफी भरी थी।",Critical opinion,Share opinions without profanity or insults.
"मूर्ख, घटिया औरत।",Dismissive criticism,Avoid name-calling and abusive language.
इस औरत को देश से बाहर निकाल देना चाहिए।,Advocacy,Avoid sexist or discriminatory statements.
ध्यान खींचने वाले बेवकूफ और ज्यादा समस्याएँ पैदा कर रहे हैं।,Accusatory,"Criticize behavior, not people, and avoid profanity."
"जब जरूरत हो तब वो अच्छा ट्रक ड्राइवर कहाँ होता है, इन सबको कुचल देना चाहिए था।",Complaint,Never encourage harm or violence.
दो साल हो गए और अब भी तुम्हारे घटिया देश में वही बेवकूफी चल रही है।,Persistent grievance,Express frustration respectfully.
"तुम्हें धिक्कार है, ग्लेशियलफॉक्स, तुम घटिया इंसान हो।",Hostile expression,Avoid harassment and personal abuse.
"यह कैसे शांतिपूर्ण है? इस इंसानी रोड ब्लॉक पर बंदूक और गैस, प्रॉब्लम सॉल्व हो गई।",Protest criticism,Do not promote violence or harm.
वहाँ ब्लैक लाइव्स मैटर क्यों है? अपने ब्लैक ऐस घर ले जाओ... इसका तुम्हारे ब्लैक ऐस से कोई लेना-देना नहीं है!,Discriminatory speech,Avoid racist language and respect all communities.
"wtf तुम fckin समलैंगिक गधा मदर fcker तुम बस फिर से किया और मेरे काम और मेरे समलैंगिक स्कूल delted wtf तुम्हारी समस्या है, तुम समलैंगिक बाल उत्पीड़क",Complaint,Avoid hate speech and personal attacks.
"क्या स्टोर के मालिक को कभी उन सिगारों के लिए पैसे मिले जो इस ""fn innocent"" मेरे कमीने बच्चे ने चुराए थे???",Inquiry,Ask questions without sarcasm or insults.
हममें से कुछ लोगों के पास नौकरी है तुम बेकार के लोग। हमारे रास्ते से हट जाओ।,Expression of inconvenience,Express inconvenience politely.
"हाहा 4:37 एक बड़ा पुराना ""Fucking"" सेंसर से निकल गया।",Rule violation,Avoid focusing on or celebrating offensive language.
"मेरे काम के साथ छेड़छाड़ करने से पहले, साले कमीने",Defensive demand,Avoid explicit and abusive language.
पूरी तरह नशे में हो जाओ! पूरी तरह नशे में! ऐसा ड्रिंक है जिसे तुम नीचे नहीं रख सकते??? मैं अभी पूरी तरह नशे में हूँ!,Descriptive reporting,Avoid promoting harmful behavior.
"तू बेकार का घटिया इंसान है, मेरी चीज़ें डिलीट करना बंद कर, गधे, मर जा और नरक में जा!",Protest against moderation,Avoid threats and abusive language.
भ्रूण के लिंग को जानना,Personal grievance,Never use slurs or hate speech.
"मुझे लगता है तुम गंदे हो, नरक में जलो, मुझे तुमसे नफ़रत है।",Condemnation,Do not use degrading personal or family insults.
मुझे कोई आइडिया नहीं और यह मैंने नहीं किया,Formal request,Keep discussions professional and constructive.
पायरेसी की घटना – मैंने यह बयान हटा दिया।,Clarification request,Question edits respectfully and factually.
ब्लॉक से बचने वाला IP,Personal criticism,Avoid excessive profanity in opinions.
काफ़ी मज़ेदार टिप्पणी,Hostile expression,Never wish death or harm on others.
तुम मर जाओ तो मुझे बताना,Warning,Follow community rules and respectful conduct.
बिना आधार के धमकियाँ मत दो,Offensive content,"Avoid sexual, defamatory, or explicit content."
मैंने तुम्हारी पोस्ट बदल दी,Aggressive hostility,Avoid degrading and abusive expressions.
रोमा लोग हंगरी में 8–10%,Condemnation,Do not use violent or threatening language.
यह फिर से है – फिल प्लाइट का दावा,Dismissal,Avoid profanity when stating opinions.
"भाड़ में जाओ तुमने मुझे ब्लॉक कर दिया, मुझे यह पसंद नहीं है कि मैंने कुछ गलत नहीं किया और उस दूसरे आदमी ने मेरा विरोध किया, तो भाड़ में जाओ",Complaint,Give constructive feedback calmly.
"मुझे लगता है कि तुम वही कट्टर नॉन-नॉर्मल हो जिसने सबसे पहले यह हेट पेज लिखा था, तुम और तुम्हारे गे दोस्त सब पीडोफाइल हो",Grievance,Address issues respectfully.
"जाओ और मर्दों से नफ़रत करो, तुम मिसएंड्रिस्ट कमीने हो",Sarcasm,Avoid slurs and harassment.
"हंसते हुए हंसते हुए तुम इतने गे हो कि मेरा सारा हैम चुरा लेते हो, मेरा जैम भी",Defensive demand,Communicate disagreements calmly.
तुम एक गंदे पीडोफ़ाइल हो और छोटे लड़कों की विली चूसते हो और 12 साल की लड़कियों के साथ मेक आउट करते हो,Protest,Maintain respectful discussion.
"तुम कितने बदतमीज़ और घटिया इंसान हो, विकिपीडिया पर लोगों की ज़िंदगी मुश्किल बना रहे हो, जाओ और मर जाओ, तुम कमीने हो।",Accusation,Avoid personal attacks.
"तुम मदरफ़कर बकवास हो, तुम सिर्फ़ कुत्ते की गंदगी हो। भाड़ में जाओ सैन फ़्रांसिस्को के बेवकूफ़!",Personal criticism,Avoid hate speech and abuse.
"मैं नहीं चाहता कि मेरे बेटे की मौत बेकार जाए। ""चलो इस कुतिया को जला देते हैं!"" बेवकूफ़ रोज़ी-रोटी बर्बाद कर रहे हैं। शांति से विरोध करो, मेरी गांड।",Violent advocacy,Never encourage destruction or harm.
"मेल गिब्सन एक नाज़ी घटिया इंसान है जो बेकार फ़िल्में बनाता है, उसे इतना पिछवाड़े वाला सेक्स पसंद है कि उसका गुदा अब एक देश जितना बड़ा हो गया है।",Harsh criticism,Criticize public figures respectfully.
"प्रिय महोदय, आप एक घटिया आदमी हैं, रहम इमैनुएल शैतान है, उसे नंगे आदमियों को छेड़ना पसंद है और दुनिया को यह जानना चाहिए कि उसे लिंग पसंद है, इसलिए घटिया मत बनो।",Hate speech,Avoid hate speech and defamatory claims.
"रीडायरेक्ट टॉक, क्या सिर्फ मुझे ही लगता है या सब कुछ बकवास है?",Dismissive evaluation,Express frustration politely.
"तुम सही हो, हालाँकि मैं द्विभाषी कीबोर्ड इस्तेमाल करता हूँ, मैं आलसी हूँ और बस “कोट डी आइवर” टाइप कर देता हूँ, तो क्या?",Self-reflection,Avoid offensive self-references.
"बेवकूफ औरत, बेवकूफ औरत, टायबाल्ट के बाद वाला हिस्सा अनावश्यक है, चाहे वह सच ही क्यों न हो।",Editorial criticism,Provide constructive criticism.
"मैं थोड़ा सा घटिया हूँ, हेलोथेरेमिनियन्स, इस पाठ से ऊपर जो कुछ भी है वह सच है।",Mocking self-blame,Avoid abusive language.
"सोलिटो, यह आदमी पूरी तरह बकवास से भरा है।",Accusation,Address issues factually.
"इस ईबॉस वाली चीज़ का क्या चक्कर है, वह समलैंगिक नहीं है।",Information request,Ask questions respectfully.
"काश जो उसके साथ पूरा “फियर फैक्टर” करता और उसे ताज़ा भाप उठती गंदगी खाने पर मजबूर करता, ताकि उसका मुँह भरा रहता और हमें उस बेकार औरत की आवाज़ बिल्कुल न सुननी पड़ती।",Opposition,Avoid dehumanizing language.
"गैर-घातक हथियार भीड़ को नियंत्रित नहीं करते, हाहा। मुझे रोगन पसंद है, लेकिन यह चर्चा बेहद बेवकूफी भरी थी।",Rejection,Express disagreement respectfully.
"मूर्ख, घटिया औरत।",Strong opposition,Avoid insults.
इस औरत को देश से बाहर निकाल देना चाहिए।,Call for action,Avoid sexist or discriminatory remarks.
ध्यान खींचने वाले बेवकूफ और ज्यादा समस्याएँ पैदा कर रहे हैं।,Blame,"Criticize actions, not people."
"जब जरूरत हो तब वो अच्छा ट्रक ड्राइवर कहाँ होता है, इन सबको कुचल देना चाहिए था।",Threatening speech,Do not encourage or suggest violence. Express frustration without threatening harm to others.
दो साल हो गए और अब भी तुम्हारे घटिया देश में वही बेवकूफी चल रही है।,Persistent complaint,Criticize situations constructively without using abusive or degrading language.
"तुम्हें धिक्कार है, ग्लेशियलफॉक्स, तुम घटिया इंसान हो।",Personal attack,Avoid direct personal insults and profanity; address issues respectfully.
"यह कैसे शांतिपूर्ण है? इस इंसानी रोड ब्लॉक पर बंदूक और गैस, प्रॉब्लम सॉल्व हो गई।",Challenging legitimacy,Do not promote violence; raise concerns using non-violent and respectful language.
वहाँ ब्लैक लाइव्स मैटर क्यों है? अपने ब्लैक ऐस घर ले जाओ... इसका तुम्हारे ब्लैक ऐस से कोई लेना-देना नहीं है!,Hate expression,Avoid hate speech and racial insults; discuss disagreements respectfully without targeting groups.
"wtf तुम fckin समलैंगिक गधा मदर fcker तुम बस फिर से किया और मेरे काम और मेरे समलैंगिक स्कूल delted wtf तुम्हारी समस्या है, तुम समलैंगिक बाल उत्पीड़क",Complaint,Do not use slurs or accusations. Clearly explain the issue calmly to resolve conflicts.
"क्या स्टोर के मालिक को कभी उन सिगारों के लिए पैसे मिले जो इस ""fn innocent"" मेरे कमीने बच्चे ने चुराए थे???",Skeptical inquiry,Avoid profanity and accusations; ask questions in a factual and respectful way.
हममें से कुछ लोगों के पास नौकरी है तुम बेकार के लोग। हमारे रास्ते से हट जाओ।,Complaint,Express inconvenience without insulting others; communicate needs politely.
"हाहा 4:37 एक बड़ा पुराना ""Fucking"" सेंसर से निकल गया।",Moderation criticism,Report moderation issues calmly without repeating profanity.
"मेरे काम के साथ छेड़छाड़ करने से पहले, साले कमीने",Aggressive warning,Avoid vulgar language; set boundaries respectfully and clearly.
पूरी तरह नशे में हो जाओ! पूरी तरह नशे में! ऐसा ड्रिंक है जिसे तुम नीचे नहीं रख सकते??? मैं अभी पूरी तरह नशे में हूँ!,Violent depiction,Avoid promoting substance abuse; express emotions responsibly.
"तू बेकार का घटिया इंसान है, मेरी चीज़ें डिलीट करना बंद कर, गधे, मर जा और नरक में जा!",Protest,Do not use threats or insults; address moderation issues calmly.
भ्रूण के लिंग को जानना,Abusive speech,Avoid slurs and hate speech; communicate disagreement respectfully.
"मुझे लगता है तुम गंदे हो, नरक में जलो, मुझे तुमसे नफ़रत है।",Verbal abuse,Personal and family insults are unacceptable; communicate without abuse.
मुझे कोई आइडिया नहीं और यह मैंने नहीं किया,Formal request,This is appropriate; maintain professional and respectful language.
पायरेसी की घटना – मैंने यह बयान हटा दिया।,Inquiry,Ask for clarification politely and provide evidence calmly.
ब्लॉक से बचने वाला IP,Overstatement,Avoid profanity; express opinions clearly without offensive words.
काफ़ी मज़ेदार टिप्पणी,Aggressive hostility,Never wish harm or death; express disagreement without violence.
तुम मर जाओ तो मुझे बताना,Protective warning,This is appropriate; keep communication factual and respectful.
बिना आधार के धमकियाँ मत दो,Rule violation,Avoid sexual harassment and defamatory statements.
मैंने तुम्हारी पोस्ट बदल दी,Profanity,Avoid obscene expressions; communicate emotions constructively.
रोमा लोग हंगरी में 8–10%,Blaming,Avoid accusations and threats; express concerns respectfully.
यह फिर से है – फिल प्लाइट का दावा,Withdrawal request,Make requests politely without insults.
"भाड़ में जाओ तुमने मुझे ब्लॉक कर दिया, मुझे यह पसंद नहीं है कि मैंने कुछ गलत नहीं किया और उस दूसरे आदमी ने मेरा विरोध किया, तो भाड़ में जाओ",Complaint,Explain concerns calmly to resolve issues.
"मुझे लगता है कि तुम वही कट्टर नॉन-नॉर्मल हो जिसने सबसे पहले यह हेट पेज लिखा था, तुम और तुम्हारे गे दोस्त सब पीडोफाइल हो",Grievance,Avoid profanity; explain your side clearly and calmly.
"जाओ और मर्दों से नफ़रत करो, तुम मिसएंड्रिस्ट कमीने हो",Slur usage,Hate speech is not acceptable; avoid slurs entirely.
"हंसते हुए हंसते हुए तुम इतने गे हो कि मेरा सारा हैम चुरा लेते हो, मेरा जैम भी",Protest,Discuss edit disputes respectfully.
तुम एक गंदे पीडोफ़ाइल हो और छोटे लड़कों की विली चूसते हो और 12 साल की लड़कियों के साथ मेक आउट करते हो,Confrontation,Ask questions politely and follow platform guidelines.
"तुम कितने बदतमीज़ और घटिया इंसान हो, विकिपीडिया पर लोगों की ज़िंदगी मुश्किल बना रहे हो, जाओ और मर जाओ, तुम कमीने हो।",Behavioral criticism,"Focus on behavior, not personal attacks."
"तुम मदरफ़कर बकवास हो, तुम सिर्फ़ कुत्ते की गंदगी हो। भाड़ में जाओ सैन फ़्रांसिस्को के बेवकूफ़!",Aggressive expression,Do not use threats or insults; disengage calmly.
"मैं नहीं चाहता कि मेरे बेटे की मौत बेकार जाए। ""चलो इस कुतिया को जला देते हैं!"" बेवकूफ़ रोज़ी-रोटी बर्बाद कर रहे हैं। शांति से विरोध करो, मेरी गांड।",Violent metaphor,Never promote violence; express frustration peacefully.
"मेल गिब्सन एक नाज़ी घटिया इंसान है जो बेकार फ़िल्में बनाता है, उसे इतना पिछवाड़े वाला सेक्स पसंद है कि उसका गुदा अब एक देश जितना बड़ा हो गया है।",Public attack,Avoid defamatory or abusive statements.
"प्रिय महोदय, आप एक घटिया आदमी हैं, रहम इमैनुएल शैतान है, उसे नंगे आदमियों को छेड़ना पसंद है और दुनिया को यह जानना चाहिए कि उसे लिंग पसंद है, इसलिए घटिया मत बनो।",Ad hominem,Maintain respectful language in communication.
"रीडायरेक्ट टॉक, क्या सिर्फ मुझे ही लगता है या सब कुछ बकवास है?",Generalized complaint,Share feedback constructively.
"तुम सही हो, हालाँकि मैं द्विभाषी कीबोर्ड इस्तेमाल करता हूँ, मैं आलसी हूँ और बस “कोट डी आइवर” टाइप कर देता हूँ, तो क्या?",Insult,Avoid self-degrading or vulgar language.
"बेवकूफ औरत, बेवकूफ औरत, टायबाल्ट के बाद वाला हिस्सा अनावश्यक है, चाहे वह सच ही क्यों न हो।",Harassment,Repeated insults are harassment; stop and disengage.
"मैं थोड़ा सा घटिया हूँ, हेलोथेरेमिनियन्स, इस पाठ से ऊपर जो कुछ भी है वह सच है।",Abusive language,"Avoid abusive language toward anyone, including yourself."
"सोलिटो, यह आदमी पूरी तरह बकवास से भरा है।",Character assassination,"Critique ideas, not people."
"इस ईबॉस वाली चीज़ का क्या चक्कर है, वह समलैंगिक नहीं है।",Hate speech,Avoid slurs entirely.
"काश जो उसके साथ पूरा “फियर फैक्टर” करता और उसे ताज़ा भाप उठती गंदगी खाने पर मजबूर करता, ताकि उसका मुँह भरा रहता और हमें उस बेकार औरत की आवाज़ बिल्कुल न सुननी पड़ती।",Threatening wish,Do not wish harm; express disagreement respectfully.
"गैर-घातक हथियार भीड़ को नियंत्रित नहीं करते, हाहा। मुझे रोगन पसंद है, लेकिन यह चर्चा बेहद बेवकूफी भरी थी।",Policy criticism,Express opinions without profanity.
"मूर्ख, घटिया औरत।",Mocking,Avoid harassment and name-calling.
इस औरत को देश से बाहर निकाल देना चाहिए।,Verbal aggression,Avoid hate speech and discriminatory language.
ध्यान खींचने वाले बेवकूफ और ज्यादा समस्याएँ पैदा कर रहे हैं।,Harassment,Avoid abusive generalizations.
"जब जरूरत हो तब वो अच्छा ट्रक ड्राइवर कहाँ होता है, इन सबको कुचल देना चाहिए था।",Violent speech,Never suggest harm to others.
दो साल हो गए और अब भी तुम्हारे घटिया देश में वही बेवकूफी चल रही है।,Repeated complaint,Express criticism constructively.
"तुम्हें धिक्कार है, ग्लेशियलफॉक्स, तुम घटिया इंसान हो।",Harassment,Avoid repeated harassment.
"यह कैसे शांतिपूर्ण है? इस इंसानी रोड ब्लॉक पर बंदूक और गैस, प्रॉब्लम सॉल्व हो गई।",Violence advocacy,Violence is never acceptable.
वहाँ ब्लैक लाइव्स मैटर क्यों है? अपने ब्लैक ऐस घर ले जाओ... इसका तुम्हारे ब्लैक ऐस से कोई लेना-देना नहीं है!,Racist abuse,Hate speech is prohibited; respect all communities.
"wtf तुम fckin समलैंगिक गधा मदर fcker तुम बस फिर से किया और मेरे काम और मेरे समलैंगिक स्कूल delted wtf तुम्हारी समस्या है, तुम समलैंगिक बाल उत्पीड़क",Complaint,Raise issues calmly and respectfully.
"क्या स्टोर के मालिक को कभी उन सिगारों के लिए पैसे मिले जो इस ""fn innocent"" मेरे कमीने बच्चे ने चुराए थे???",Neutral inquiry,Avoid accusations and profanity; raise concerns factually.
हममें से कुछ लोगों के पास नौकरी है तुम बेकार के लोग। हमारे रास्ते से हट जाओ।,Practical complaint,Do not insult groups; express inconvenience politely.
"हाहा 4:37 एक बड़ा पुराना ""Fucking"" सेंसर से निकल गया।",Moderation notice,Avoid celebrating profanity; report issues neutrally.
"मेरे काम के साथ छेड़छाड़ करने से पहले, साले कमीने",Defensive request,Address edit issues respectfully.
पूरी तरह नशे में हो जाओ! पूरी तरह नशे में! ऐसा ड्रिंक है जिसे तुम नीचे नहीं रख सकते??? मैं अभी पूरी तरह नशे में हूँ!,Violent depiction,Do not promote substance abuse or aggressive behavior.
"तू बेकार का घटिया इंसान है, मेरी चीज़ें डिलीट करना बंद कर, गधे, मर जा और नरक में जा!",Complaint,Never use threats; raise disputes calmly.
भ्रूण के लिंग को जानना,Personal criticism,Hate speech and slurs are unacceptable.
"मुझे लगता है तुम गंदे हो, नरक में जलो, मुझे तुमसे नफ़रत है।",Verbal abuse,Family-based insults are abusive and prohibited.
मुझे कोई आइडिया नहीं और यह मैंने नहीं किया,Formal request,This is acceptable; keep a professional tone.
पायरेसी की घटना – मैंने यह बयान हटा दिया।,Clarification request,Ask for clarification without aggressive language.
ब्लॉक से बचने वाला IP,Emotional outburst,Avoid profanity when expressing opinions.
काफ़ी मज़ेदार टिप्पणी,Personal attack,Never wish death or harm on others.
तुम मर जाओ तो मुझे बताना,Warning,Firm but respectful communication is appropriate.
बिना आधार के धमकियाँ मत दो,Rule violation,Sexual harassment and defamation are prohibited.
मैंने तुम्हारी पोस्ट बदल दी,Profanity,Obscene language is unacceptable.
रोमा लोग हंगरी में 8–10%,Blaming,Avoid violent accusations without evidence.
यह फिर से है – फिल प्लाइट का दावा,Withdrawal request,Make requests politely.
"भाड़ में जाओ तुमने मुझे ब्लॉक कर दिया, मुझे यह पसंद नहीं है कि मैंने कुछ गलत नहीं किया और उस दूसरे आदमी ने मेरा विरोध किया, तो भाड़ में जाओ",Complaint,Discuss content issues constructively.
"मुझे लगता है कि तुम वही कट्टर नॉन-नॉर्मल हो जिसने सबसे पहले यह हेट पेज लिखा था, तुम और तुम्हारे गे दोस्त सब पीडोफाइल हो",Grievance,"Explain concerns calmly, without insults."
"जाओ और मर्दों से नफ़रत करो, तुम मिसएंड्रिस्ट कमीने हो",Insult,Slurs are hate speech and must be avoided.
"हंसते हुए हंसते हुए तुम इतने गे हो कि मेरा सारा हैम चुरा लेते हो, मेरा जैम भी",Protest,Resolve edit conflicts respectfully.
